product,discount,review,rating,total_rating,current_price_min,current_price_max,old_price_min,old_price_max,current_price_mid,old_price_mid,discount_amount,calculated_discount_pct,discount_difference,rating_category,discount_category,price_category
115  Piece Set Of Multifunctional Precision Screwdrivers,0.38,2.0,4.5,5,950.0,950.0,1525.0,1525.0,950.0,1525.0,575.0,0.377,-0.003,Average,Medium,Medium
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,0.47,14.0,4.1,5,527.0,527.0,999.0,999.0,527.0,999.0,472.0,0.472,0.002,Average,High,Medium
Portable Mini Cordless Car Vacuum Cleaner - Blue,0.25,24.0,4.6,5,2199.0,2199.0,2923.0,2923.0,2199.0,2923.0,724.0,0.248,-0.002,Excellent,Medium,Premium
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,0.37,7.0,4.7,5,1580.0,1580.0,2499.0,2499.0,1580.0,2499.0,919.0,0.368,-0.002,Excellent,Medium,High
Portable Home Small Air Humidifier 3-Speed Fan - Green,0.26,5.0,4.8,5,1740.0,1740.0,2356.0,2356.0,1740.0,2356.0,616.0,0.261,0.001,Excellent,Medium,Premium
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter",0.09,15.0,4.0,5,2999.0,2999.0,3290.0,3290.0,2999.0,3290.0,291.0,0.088,-0.002,Average,Low,Premium
137 Pieces Cake Decorating Tool Set Baking Supplies,0.24,55.0,4.6,5,2319.0,2319.0,3032.0,3032.0,2319.0,3032.0,713.0,0.235,-0.005,Excellent,Medium,Premium
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,0.37,2.0,4.0,5,988.0,988.0,1580.0,1580.0,988.0,1580.0,592.0,0.375,0.005,Average,Medium,Medium
LASA FOLDING TABLE SERVING STAND,0.55,5.0,4.8,5,1274.0,1274.0,2800.0,2800.0,1274.0,2800.0,1526.0,0.545,-0.005,Excellent,High,High
13 In 1 Home Repair Tools Box Kit Set,0.45,5.0,3.8,5,1600.0,1600.0,2929.0,2929.0,1600.0,2929.0,1329.0,0.454,0.004,Average,High,High
Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,0.2,12.0,4.1,5,799.0,799.0,999.0,999.0,799.0,999.0,200.0,0.2,0.0,Average,Medium,Medium
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,0.34,39.0,4.7,5,990.0,990.0,1500.0,1500.0,990.0,1500.0,510.0,0.34,0.0,Excellent,Medium,Medium
40cm Gold DIY Acrylic Wall Sticker Clock,0.47,12.0,4.8,5,552.0,552.0,1035.0,1035.0,552.0,1035.0,483.0,0.467,-0.003,Excellent,High,Medium
LASA Digital Thermometer And Hydrometer,0.42,6.0,4.5,5,501.0,501.0,860.0,860.0,501.0,860.0,359.0,0.417,-0.003,Average,High,Medium
Multifunction Laser Level With Adjustment Tripod,0.33,9.0,4.2,5,1680.0,1680.0,2499.0,2499.0,1680.0,2499.0,819.0,0.328,-0.002,Average,Medium,Premium
Anti-Skid Absorbent Insulation Coaster  For Home Office,0.51,2.0,5.0,5,332.0,332.0,684.0,684.0,332.0,684.0,352.0,0.515,0.005,Excellent,High,Low
Peacock  Throw Pillow Cushion Case For Home Car,0.46,2.0,5.0,5,195.0,195.0,360.0,360.0,195.0,360.0,165.0,0.458,-0.002,Excellent,High,Low
LASA Aluminum Folding Truck Hand Cart - 68kg Max,0.49,3.0,5.0,5,2025.0,2025.0,3971.0,3971.0,2025.0,3971.0,1946.0,0.49,0.0,Excellent,High,Premium
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,0.19,5.0,4.6,5,2999.0,2999.0,3699.0,3699.0,2999.0,3699.0,700.0,0.189,-0.001,Excellent,Low,Premium
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,0.49,44.0,4.6,5,998.0,998.0,1966.0,1966.0,998.0,1966.0,968.0,0.492,0.002,Excellent,High,Medium
3PCS Single Head Knitting Crochet Sweater Needle Set,0.53,13.0,3.3,5,38.0,38.0,80.0,80.0,38.0,80.0,42.0,0.525,-0.005,Average,High,Low
"4pcs Bathroom/Kitchen Towel Rack,Roll Paper Holder,Towel Bars,Hook",0.42,,,,1860.0,1860.0,3220.0,3220.0,1860.0,3220.0,1360.0,0.422,0.002,Missing,High,Premium
"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",0.35,6.0,4.0,5,880.0,880.0,1350.0,1350.0,880.0,1350.0,470.0,0.348,-0.002,Average,Medium,Medium
Foldable Overbed Table/Desk,0.23,14.0,4.4,5,1650.0,1650.0,2150.0,2150.0,1650.0,2150.0,500.0,0.233,0.003,Average,Medium,High
LASA 3 Tier Bamboo Shoe Bench Storage Shelf,0.54,7.0,4.3,5,2048.0,2048.0,4500.0,4500.0,2048.0,4500.0,2452.0,0.545,0.005,Average,High,Premium
Electronic Digital Display Vernier Caliper,0.35,49.0,4.6,5,420.0,420.0,647.0,647.0,420.0,647.0,227.0,0.351,0.001,Excellent,Medium,Low
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,0.18,12.0,3.8,5,2880.0,2880.0,3520.0,3520.0,2880.0,3520.0,640.0,0.182,0.002,Average,Low,Premium
12 Litre Black Insulated Lunch Box,0.32,13.0,3.8,5,1350.0,1350.0,1990.0,1990.0,1350.0,1990.0,640.0,0.322,0.002,Average,Medium,High
52 Pieces Cake Decorating Tool Set Gift Kit Baking Supplies,0.3,20.0,4.1,5,1758.0,1758.0,2499.0,2499.0,1758.0,2499.0,741.0,0.297,-0.003,Average,Medium,Premium
MultiFunctional Storage Rack Multi-layer Bookshelf,0.46,,,,2200.0,2200.0,4080.0,4080.0,2200.0,4080.0,1880.0,0.461,0.001,Missing,High,Premium
Exfoliate And Exfoliate Face Towel - Black,0.52,9.0,4.3,5,185.0,185.0,382.0,382.0,185.0,382.0,197.0,0.516,-0.004,Average,High,Low
12 Litre Insulated Lunch Box Grey,0.34,12.0,4.7,5,980.0,980.0,1490.0,1490.0,980.0,1490.0,510.0,0.342,0.002,Excellent,Medium,Medium
"LED Eye Protection  Desk Lamp , Study, Reading, USB Fan - Double Pen Holder",0.48,9.0,4.3,5,1820.0,1820.0,3490.0,3490.0,1820.0,3490.0,1670.0,0.479,-0.001,Average,High,Premium
53Pcs/Set Yarn Knitting Crochet Hooks With Bag - Fortune Cat,0.27,20.0,4.7,5,1940.0,1940.0,2650.0,2650.0,1940.0,2650.0,710.0,0.268,-0.002,Excellent,Medium,Premium
53 Pieces/Set Yarn Knitting Crochet Hooks With Bag - Pansies,0.27,32.0,4.5,5,1980.0,1980.0,2699.0,2699.0,1980.0,2699.0,719.0,0.266,-0.004,Average,Medium,Premium
"DIY File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack",0.4,1.0,5.0,5,1620.0,1620.0,2690.0,2690.0,1620.0,2690.0,1070.0,0.398,-0.002,Excellent,Medium,High
Classic Black Cat Cotton Hemp Pillow Case For Home Car,0.53,2.0,5.0,5,171.0,171.0,360.0,360.0,171.0,360.0,189.0,0.525,-0.005,Excellent,High,Low
Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,0.41,36.0,4.3,5,389.0,389.0,656.0,656.0,389.0,656.0,267.0,0.407,-0.003,Average,High,Low
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey",0.38,2.0,4.5,5,1620.0,1980.0,2200.0,3200.0,1800.0,2700.0,900.0,0.333,-0.047,Average,Medium,Premium
LASA Stainless Steel Double Wall Mount Soap Dispenser - 500ml,0.38,,,,2750.0,2750.0,4471.0,4471.0,2750.0,4471.0,1721.0,0.385,0.005,Missing,Medium,Premium
4M Float Switch Water Level Controller -Water Tank,0.49,,,,475.0,475.0,931.0,931.0,475.0,931.0,456.0,0.49,-0.0,Missing,High,Low
Modern Sofa Throw Pillow Cover-45x45cm-Blue&Red,0.5,,,,238.0,238.0,476.0,476.0,238.0,476.0,238.0,0.5,0.0,Missing,High,Low
"Balloon Insert, Birthday Party Balloon Set, PU Leather",0.42,,,,610.0,610.0,1060.0,1060.0,610.0,1060.0,450.0,0.425,0.005,Missing,High,Medium
Shower Cap Wide Elastic Band Cover Reusable Bashroom Cap,0.02,,,,2132.0,2132.0,2169.0,2169.0,2132.0,2169.0,37.0,0.017,-0.003,Missing,Low,Premium
Christmas Elk Fence Yard Lawn Decorations Cute For Holidays,0.5,,,,999.0,999.0,2000.0,2000.0,999.0,2000.0,1001.0,0.5,0.0,Missing,High,High
60W Hot Melt Glue Sprayer - Efficient And Stable Glue Dispensing,0.33,,,,1190.0,1190.0,1785.0,1785.0,1190.0,1785.0,595.0,0.333,0.003,Missing,Medium,High
Car Phone Charging Stand,0.49,,,,671.0,671.0,1316.0,1316.0,671.0,1316.0,645.0,0.49,0.0,Missing,High,Medium
2pcs Solar Street Light Flood Light Outdoor,0.38,,,,1200.0,1200.0,1950.0,1950.0,1200.0,1950.0,750.0,0.385,0.005,Missing,Medium,High
Creative Owl Shape Keychain Black,0.61,,,,199.0,199.0,504.0,504.0,199.0,504.0,305.0,0.605,-0.005,Missing,High,Low
Brush & Paintbrush Cleaning Tool Pink,0.5,,,,299.0,299.0,600.0,600.0,299.0,600.0,301.0,0.502,0.002,Missing,High,Low
Pen Grips For Kids Pen Grip Posture Correction Tool For Kids,0.02,,,,1660.0,1660.0,1699.0,1699.0,1660.0,1699.0,39.0,0.023,0.003,Missing,Low,High
Pilates Cloth Bag Waterproof Durable High Capacity Purple,0.22,,,,299.0,299.0,384.0,384.0,299.0,384.0,85.0,0.221,0.001,Missing,Medium,Low
Multi-purpose Rice Drainage Basket And Fruit And Vegetable Drainage Sieve,0.03,,,,1459.0,1459.0,1499.0,1499.0,1459.0,1499.0,40.0,0.027,-0.003,Missing,Low,High
Cute Christmas Fence Garden Decorations For Holiday Home,0.41,,,,799.0,799.0,1343.0,1343.0,799.0,1343.0,544.0,0.405,-0.005,Missing,High,Medium
Simple Metal Dog Art Sculpture Decoration For Home Office,0.45,,,,499.0,499.0,900.0,900.0,499.0,900.0,401.0,0.446,-0.004,Missing,High,Medium
Christmas Fence Garden Decorations Outdoor For Holiday Home,0.48,,,,699.0,699.0,1343.0,1343.0,699.0,1343.0,644.0,0.48,-0.0,Missing,High,Medium
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,0.49,,,,799.0,799.0,1567.0,1567.0,799.0,1567.0,768.0,0.49,0.0,Missing,High,Medium
12V 19500rpm Handheld Electric Angle Grinder Tool - UK - Yellow/Black,0.27,,,,2799.0,2799.0,3810.0,3810.0,2799.0,3810.0,1011.0,0.265,-0.005,Missing,Medium,Premium
Simple Metal Dog Art Sculpture Decoration For Home Office,0.55,,,,399.0,399.0,896.0,896.0,399.0,896.0,497.0,0.555,0.005,Missing,High,Low
5 Pieces/set Of Stainless Steel Induction Cooker Pots,0.13,6.0,2.5,5,2170.0,2170.0,2500.0,2500.0,2170.0,2500.0,330.0,0.132,0.002,Poor,Low,Premium
Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,0.54,10.0,3.0,5,458.0,458.0,986.0,986.0,458.0,986.0,528.0,0.535,-0.005,Average,High,Low
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,0.55,13.0,2.1,5,2115.0,2115.0,4700.0,4700.0,2115.0,4700.0,2585.0,0.55,0.0,Poor,High,Premium
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,0.49,69.0,2.8,5,445.0,445.0,873.0,873.0,445.0,873.0,428.0,0.49,0.0,Poor,High,Low
Intelligent  LED Body Sensor Wireless Lighting Night Light USB,0.52,15.0,2.7,5,325.0,325.0,680.0,680.0,325.0,680.0,355.0,0.522,0.002,Poor,High,Low
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,0.22,16.0,2.9,5,1220.0,1220.0,1555.0,1555.0,1220.0,1555.0,335.0,0.215,-0.005,Poor,Medium,High
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),0.45,6.0,2.2,5,990.0,990.0,1814.0,1814.0,990.0,1814.0,824.0,0.454,0.004,Poor,High,Medium
380ML USB Rechargeable Portable Small Blenders And Juicers,0.5,7.0,2.3,5,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,1000.0,0.5,0.0,Poor,High,High
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,0.39,5.0,3.0,5,3750.0,3750.0,6143.0,6143.0,3750.0,6143.0,2393.0,0.39,-0.0,Average,Medium,Premium
Agapeon Toothbrush Holder And Toothpaste Dispenser,0.45,17.0,2.6,5,382.0,382.0,700.0,700.0,382.0,700.0,318.0,0.454,0.004,Poor,High,Low
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,0.29,5.0,3.0,5,2300.0,2300.0,3240.0,3240.0,2300.0,3240.0,940.0,0.29,0.0,Average,Medium,Premium
Watercolour Gold Foil Textured Print Pillow Cover,0.43,6.0,2.3,5,345.0,345.0,602.0,602.0,345.0,602.0,257.0,0.427,-0.003,Poor,High,Low
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,0.43,5.0,3.0,5,509.0,509.0,899.0,899.0,509.0,899.0,390.0,0.434,0.004,Average,High,Medium
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",0.47,6.0,2.2,5,968.0,968.0,1814.0,1814.0,968.0,1814.0,846.0,0.466,-0.004,Poor,High,Medium
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB",0.47,7.0,2.1,5,1570.0,1570.0,2988.0,2988.0,1570.0,2988.0,1418.0,0.475,0.005,Poor,High,High
2PCS/LOT Solar LED Outdoor Intelligent Light Controlled Wall Lamp,0.47,,,,790.0,790.0,1485.0,1485.0,790.0,1485.0,695.0,0.468,-0.002,Missing,High,Medium
3PCS Rotary Scraper Thermomix For Kitchen,0.43,,,,690.0,690.0,1200.0,1200.0,690.0,1200.0,510.0,0.425,-0.005,Missing,High,Medium
Cushion Silicone Butt Cushion Summer Ice Cushion Honeycomb Gel Cushion,0.04,,,,1732.0,1732.0,1799.0,1799.0,1732.0,1799.0,67.0,0.037,-0.003,Missing,Low,Premium
7PCS Silicone Thumb Knife Finger Protector Vegetable Harvesting Knife,0.49,,,,230.0,230.0,450.0,450.0,230.0,450.0,220.0,0.489,-0.001,Missing,High,Low
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm",0.46,1.0,3.0,5,1189.0,1189.0,2199.0,2199.0,1189.0,2199.0,1010.0,0.459,-0.001,Average,High,High
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,0.49,1.0,5.0,5,979.0,979.0,1920.0,1920.0,979.0,1920.0,941.0,0.49,0.0,Excellent,High,Medium
5m Waterproof Spherical LED String Lights Outdoor Ball Chain Lights Party Lighting Decoration Adjustable,0.36,,,,1460.0,1460.0,2290.0,2290.0,1460.0,2290.0,830.0,0.362,0.002,Missing,Medium,High
2 Pairs Cowhide Split Leather Work Gloves.32℉ Or Above Welding Gloves,0.02,,,,1666.0,1666.0,1699.0,1699.0,1666.0,1699.0,33.0,0.019,-0.001,Missing,Low,High
Household Pineapple Peeler Peeler,0.49,1.0,4.0,5,330.0,330.0,647.0,647.0,330.0,647.0,317.0,0.49,-0.0,Average,High,Low
Creative Owl Shape Keychain Black,0.49,,,,176.0,176.0,345.0,345.0,176.0,345.0,169.0,0.49,-0.0,Missing,High,Low
Office Chair Lumbar Back Support Spine Posture Correction Pillow Car Cushion,0.14,,,,1466.0,1466.0,1699.0,1699.0,1466.0,1699.0,233.0,0.137,-0.003,Missing,Low,High
Cartoon Car Decoration Cute Individuality For Car Home Desk,0.49,,,,274.0,274.0,537.0,537.0,274.0,537.0,263.0,0.49,-0.0,Missing,High,Low
Outdoor Portable Water Bottle With Medicine Box - 600ML - Black,0.11,,,,799.0,799.0,900.0,900.0,799.0,900.0,101.0,0.112,0.002,Missing,Low,Medium
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,0.49,,,,657.0,657.0,1288.0,1288.0,657.0,1288.0,631.0,0.49,-0.0,Missing,High,Medium
Wall-Mounted Toothbrush Toothpaste Holder With Multiple Slots,0.14,,,,1468.0,1468.0,1699.0,1699.0,1468.0,1699.0,231.0,0.136,-0.004,Missing,Low,High
Multifunctional Hanging Storage Box Storage Bag (4 Layers),0.43,,,,630.0,630.0,1100.0,1100.0,630.0,1100.0,470.0,0.427,-0.003,Missing,High,Medium
Wall Clock With Hidden Safe Box,0.5,,,,850.0,850.0,1700.0,1700.0,850.0,1700.0,850.0,0.5,0.0,Missing,High,Medium
Portable Wine Table With Folding Round Table,0.48,,,,1300.0,1300.0,2500.0,2500.0,1300.0,2500.0,1200.0,0.48,0.0,Missing,High,High
Sewing Machine Needle Threader Stitch Insertion Tool Automatic Quick Sewing,0.48,,,,105.0,105.0,200.0,200.0,105.0,200.0,95.0,0.475,-0.005,Missing,High,Low
6 Layers Steel Pipe Assembling Dustproof Storage Shoe Cabinet,0.47,,,,899.0,899.0,1699.0,1699.0,899.0,1699.0,800.0,0.471,0.001,Missing,High,Medium
2PCS Ice Silk Square Cushion Cover Pillowcases - 65x65cm,0.5,,,,1200.0,1200.0,2400.0,2400.0,1200.0,2400.0,1200.0,0.5,0.0,Missing,High,High
Wall Mount Automatic Toothpaste Dispenser Toothbrush Holder Toothpaste Squeezer,0.08,,,,1526.0,1526.0,1660.0,1660.0,1526.0,1660.0,134.0,0.081,0.001,Missing,Low,High
Portable Soap Dispenser Kitchen Detergent Press Box Kitchen Tools,0.02,,,,1462.0,1462.0,1499.0,1499.0,1462.0,1499.0,37.0,0.025,0.005,Missing,Low,High
4 Piece Coloured Stainless Steel Kitchenware Set,0.49,,,,248.0,248.0,486.0,486.0,248.0,486.0,238.0,0.49,-0.0,Missing,High,Low
Metal Wall Clock Silver Dial Crystal Jewelry Round Home Decoration Wall Clock,0.04,,,,3546.0,3546.0,3699.0,3699.0,3546.0,3699.0,153.0,0.041,0.001,Missing,Low,Premium
Baby Early Education Shape And Color Cognitive Training Toys,0.49,,,,525.0,525.0,1029.0,1029.0,525.0,1029.0,504.0,0.49,-0.0,Missing,High,Medium
8in1 Screwdriver With LED Light,0.42,,,,1080.0,1080.0,1874.0,1874.0,1080.0,1874.0,794.0,0.424,0.004,Missing,High,High
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White",0.21,1.0,5.0,5,3640.0,3640.0,4588.0,4588.0,3640.0,4588.0,948.0,0.207,-0.003,Excellent,Medium,Premium
"9pcs Gas Mask, For Painting, Dust, Formaldehyde Grinding, Polishing",0.41,,,,1420.0,1420.0,2420.0,2420.0,1420.0,2420.0,1000.0,0.413,0.003,Missing,High,High
24 Grid Wall-mounted Sundries Organiser Fabric Closet Bag Storage Rack,0.01,,,,1875.0,1875.0,1899.0,1899.0,1875.0,1899.0,24.0,0.013,0.003,Missing,Low,Premium
1PC Refrigerator Food Seal Pocket Fridge Bags,0.24,,,,198.0,198.0,260.0,260.0,198.0,260.0,62.0,0.238,-0.002,Missing,Medium,Low
LED Solar Street Light-fake Camera,0.34,,,,1150.0,1150.0,1737.0,1737.0,1150.0,1737.0,587.0,0.338,-0.002,Missing,Medium,High
Cartoon Embroidered Mini Towel Bear Cotton Wash Cloth Hand 4pcs,0.34,,,,1190.0,1190.0,1810.0,1810.0,1190.0,1810.0,620.0,0.343,0.003,Missing,Medium,High
Shower Nozzle Cleaning Unclogging Needle Mini Crevice Small Hole Cleaning Brush,0.02,,,,1658.0,1658.0,1699.0,1699.0,1658.0,1699.0,41.0,0.024,0.004,Missing,Low,High
Thickening Multipurpose Non Stick Easy To Clean Heat Resistant Spoon Pad,0.02,,,,1768.0,1768.0,1799.0,1799.0,1768.0,1799.0,31.0,0.017,-0.003,Missing,Low,Premium
6 In 1 Bottle Can Opener Multifunctional Easy Opener,0.64,,,,199.0,199.0,553.0,553.0,199.0,553.0,354.0,0.64,0.0,Missing,High,Low
Wall-mounted Sticker Punch-free Plug Fixer,0.5,1.0,2.0,5,450.0,450.0,900.0,900.0,450.0,900.0,450.0,0.5,0.0,Poor,High,Low
Black Simple Water Cup Wine Coaster Anti Slip Absorbent,0.47,,,,169.0,169.0,320.0,320.0,169.0,320.0,151.0,0.472,0.002,Missing,High,Low
